Record_ID,Date,Temperature_C,Humidity_percent,Rainfall_mm,Wind_Speed_kmh,PM2_5_ug_m3,PM10_ug_m3,NO2_ug_m3,Air_Quality_Index_AQI,Green_Environmental_Index,Air_Quality_Category,
301,2025-10-28,36.5,52.3,0,18,27.7,41,17.7,36,66.4,Good,
302,2025-10-29,18.6,71,8.9,7.1,19.8,29.1,32.5,39,68.1,Good,
303,2025-10-30,31.8,67.2,0,13.1,28.6,82.1,20.1,54,63.8,Moderate,
304,2025-10-31,25.2,75.1,0,13.1,7.9,44.1,34,37,67,Good,
305,2025-11-01,26.7,80.6,6.3,6.8,24.4,42.2,33.7,54,73.3,Moderate,
306,2025-11-02,21.2,85.4,0,11.6,20.9,61.6,24.8,45,69,Good,
307,2025-11-03,25.2,71,0,9.7,23.1,53.2,18.8,48,58.3,Good,
308,2025-11-04,34.2,51.8,0,11.8,30,65.9,32.1,56,66.3,Moderate,
309,2025-11-05,30.2,63.7,0.2,10.7,33,52.7,25,59,67.1,Moderate,
310,2025-11-06,36.5,60.7,0,13.8,24.1,55.2,32.2,76,65,Moderate,
311,2025-11-07,33.5,60.9,0,10.2,19.4,56.7,29.4,63,69.4,Moderate,
312,2025-11-08,29.4,62.5,0,9.5,26.6,36.8,14,50,64.8,Good,
313,2025-11-09,36.6,60.9,0,13.5,39.1,58.6,40,76,62.7,Moderate,
314,2025-11-10,29.4,63.1,0,11.9,41.2,56.5,26.6,64,62.2,Moderate,
315,2025-11-11,31.6,59.7,3.6,12.3,34.9,77.9,24.9,69,51.8,Moderate,
316,2025-11-12,25.4,74.3,2.4,7.9,14.6,51.9,21.5,47,64.4,Good,
317,2025-11-13,27.4,66.3,7.3,6.7,26.3,22.7,29.5,61,62.2,Moderate,
318,2025-11-14,23.2,76.3,3.3,8.2,26.1,46.4,17.2,62,58.1,Moderate,
319,2025-11-15,32.4,65.9,0,8,34.5,95.3,15.6,85,67.9,Moderate,
320,2025-11-16,20.5,68.3,0,12.5,23.5,52.6,22.6,50,66.1,Good,
321,2025-11-17,31.3,61.2,0,13.1,21.2,43.2,31.8,57,64,Moderate,
322,2025-11-18,26,82.7,0,9.5,26.7,58.3,24.1,60,60.2,Moderate,
323,2025-11-19,33.4,53.2,12.6,14.6,30.5,42.2,19.6,56,66.6,Moderate,
324,2025-11-20,31.1,48.3,5.5,14.4,33.1,33.4,27.4,80,69.1,Moderate,
325,2025-11-21,37,43.5,5.8,10.8,27.8,56.7,22.8,47,59.7,Good,
326,2025-11-22,31,65.6,0,7.4,29.5,59.8,23.3,64,62.6,Moderate,
327,2025-11-23,18.4,80.1,0,15,5,12.1,11.7,28,71.4,Good,
328,2025-11-24,26.6,69.4,0,9.8,21.6,36.2,31.8,42,54.7,Good,
329,2025-11-25,20.6,87.1,0,10.4,16.5,43.4,18.2,38,64.3,Good,
330,2025-11-26,24.1,51.8,0,8.9,16.8,43.7,21.2,42,62.4,Good,
331,2025-11-27,35.3,63.6,0,7.2,37.6,69.1,47.7,91,60.8,Moderate,
332,2025-11-28,30.5,78.4,0,5.3,32.8,44,33.5,55,60.5,Moderate,
333,2025-11-29,23.2,65.3,2,12,5,53.8,24.2,46,66.3,Good,
334,2025-11-30,21.4,73.3,0,7.5,25.3,31.6,20.2,55,73.8,Moderate,
335,2025-12-01,27.2,63.7,0,19.8,12.7,64.2,17.7,52,62.5,Moderate,
336,2025-12-02,20.3,70.5,2.3,6.5,26.7,23.6,6.7,31,66.2,Good,
337,2025-12-03,23.3,71.6,0,6,16,36.4,31.7,50,74.9,Good,
338,2025-12-04,28.7,79.4,2.3,11.6,27,56.8,29.6,58,60.6,Moderate,
339,2025-12-05,33.4,77.3,6.5,14.9,25.7,74.6,26.9,67,72.5,Moderate,
340,2025-12-06,30.3,63.4,0,10.2,32.1,59.3,27.7,90,62.4,Moderate,
341,2025-12-07,14.4,98,5.4,11.8,14.2,40.6,19.7,43,74.7,Good,
342,2025-12-08,28.7,68.3,2.4,4.1,30,58.3,18.9,52,66.8,Moderate,
343,2025-12-09,27.4,83.5,20.6,7.8,12.7,35.3,20.8,41,69.9,Good,
344,2025-12-10,29.3,66.6,5.7,6.6,18.4,49.4,20.8,38,64.7,Good,
345,2025-12-11,35.9,60.8,3.6,3.9,33.7,50.9,47.9,72,60,Moderate,
346,2025-12-12,15.7,85.9,0,10.4,16.3,20.8,23,29,65.9,Good,
347,2025-12-13,23.7,98,0,2.8,24,59.2,11.3,49,67.7,Good,
348,2025-12-14,30.2,73,2.3,5.8,37.3,43.9,19.7,73,62.8,Moderate,
349,2025-12-15,18.3,74.3,0.6,8.3,17.8,46.5,18.9,52,62.9,Moderate,
350,2025-12-16,35.1,68.4,0,7.3,28.2,46.6,30.5,69,62.1,Moderate,
351,2025-12-17,29,64.7,20.9,11.3,21.8,51.3,15.4,40,71.9,Good,
352,2025-12-18,31.7,60.7,0,11,32.1,49.8,43,72,68.9,Moderate,
353,2025-12-19,23.9,80.8,2.3,12.9,24.2,62.8,24.2,65,60.1,Moderate,
354,2025-12-20,31.5,65.1,4.5,12.4,43.4,57.7,31.4,78,58.7,Moderate,
355,2025-12-21,32.9,65.4,0,13.7,24.2,71.2,24.3,63,64.6,Moderate,
356,2025-12-22,28.3,68.6,0,10,27.4,43.1,32.2,67,71.2,Moderate,
357,2025-12-23,28.3,71.2,0,11,30.7,52.8,24,62,68.5,Moderate,
358,2025-12-24,28.5,71.6,0,11.6,26.8,39,24.6,58,57.5,Moderate,
359,2025-12-25,22.3,59.9,0,10.5,18.2,39.9,26.4,64,63.3,Moderate,
360,2025-12-26,26.2,76.2,0,8.7,14.6,48.2,14.6,40,60,Good,
361,2025-12-27,26.2,63.1,0,8.9,22.7,41.9,37.1,72,62.7,Moderate,
362,2025-12-28,29.1,56,0,7.4,21.9,40.5,30.2,61,72.2,Moderate,
363,2025-12-29,32.5,63.2,0,11.3,17,38.4,38.9,43,57.7,Good,
364,2025-12-30,21.2,77.3,10,9.7,13.6,11.8,12.9,20,59.6,Good,
365,2025-12-31,26.3,65.2,2,7.9,18.9,38.2,19.8,38,60.7,Good,
366,2026-01-01,35.1,67.2,2.2,7.9,39.9,70.7,25.2,73,62.9,Moderate,
367,2026-01-02,22.9,63.9,8,6.1,29.2,27.2,25.4,54,68.3,Moderate,
368,2026-01-03,22.5,71.9,25.8,13.1,8.7,18.9,18.4,33,72.4,Good,
369,2026-01-04,28.1,64,0,10.3,25.5,75.8,23.6,80,68.3,Moderate,
370,2026-01-05,31.6,64.2,0,7.2,18,51.2,24,55,55.3,Moderate,
371,2026-01-06,27.1,72.1,0,12.6,21.1,53.3,16.1,47,69.7,Good,
372,2026-01-07,34.3,53.5,0,8.2,37.8,70.1,32.4,65,59.9,Moderate,
373,2026-01-08,31.7,70.3,0,5.5,40.8,69.7,28.6,84,64.8,Moderate,
374,2026-01-09,31.6,65.1,35,13.3,16.7,25.5,19.3,38,63.9,Good,
375,2026-01-10,30,51.3,3,8.3,38.6,52.8,39.8,84,62.5,Moderate,
376,2026-01-11,39.8,39.6,0,8.7,27.1,46.9,36.4,86,64.6,Moderate,
377,2026-01-12,25.9,71.1,0,10.1,15.7,81.7,34,79,68.9,Moderate,
378,2026-01-13,16,80.9,0,13.7,20,14.2,11.9,39,57.5,Good,
379,2026-01-14,35.8,59,5.4,10.1,47.1,47,34.2,76,62.4,Moderate,
380,2026-01-15,24.5,72.6,15.3,6.2,28.4,34.5,23.6,51,60.7,Moderate,
381,2026-01-16,27.6,71.1,0,11.7,25.8,31.1,13.9,45,66.7,Good,
382,2026-01-17,34.2,69.2,0,8.4,16.8,79,42.6,67,67,Moderate,
383,2026-01-18,18.2,71.2,0,16,5,66.9,15.4,45,71.3,Good,
384,2026-01-19,20.1,68.5,0,10,21.6,37,25.8,55,61.7,Moderate,
385,2026-01-20,18.2,71.3,11,2.8,19,27.4,15.7,29,71.3,Good,
386,2026-01-21,22.6,77.3,4.3,11.1,12.4,15,20.4,42,73.6,Good,
387,2026-01-22,29.4,77.1,0,16.2,25.1,45.5,19.2,55,55.4,Moderate,
388,2026-01-23,29.9,63.2,0,15,26.8,46.2,34.8,50,66.5,Good,
389,2026-01-24,28.5,48.2,0,15.9,31.6,39.5,26.9,62,68.1,Moderate,
390,2026-01-25,19.2,65.3,0,6.7,23.2,47.9,23.9,58,62.5,Moderate,
391,2026-01-26,14.3,77.9,0,12.9,23.1,38.7,24.1,61,58.1,Moderate,
392,2026-01-27,27.3,65.1,0,7.7,28.8,58,35.5,69,67.5,Moderate,
393,2026-01-28,24.4,69.7,4.3,10.7,22.3,42.4,28.5,63,58.7,Moderate,
394,2026-01-29,29.5,67.4,0,5.9,40.4,43.8,20,70,61.3,Moderate,
395,2026-01-30,30.9,63,0,7.9,23.9,66.5,25.2,53,62.7,Moderate,
396,2026-01-31,27.8,77.5,0,7.8,51.5,54.4,20.7,70,64.2,Moderate,
397,2026-02-01,31.2,59.7,0,12.9,31.6,65.4,33.2,87,59.1,Moderate,
398,2026-02-02,28.3,61.6,3.2,12.6,28.6,60.1,26.8,78,59.8,Moderate,
399,2026-02-03,29.9,70.4,0,10.9,33,35.6,18.3,60,63.8,Moderate,
400,2026-02-04,23.1,62.1,8.1,5.7,39.9,30,22.7,77,69.1,Moderate,
401,2026-02-05,26,74.2,8.3,9,31.5,39.2,14.3,64,76,Moderate,
402,2026-02-06,28.1,69.5,0,7.6,16.6,41.1,27.7,56,57.2,Moderate,
403,2026-02-07,31.5,63.6,0,12.8,40.1,64.1,16.9,65,63,Moderate,
404,2026-02-08,24.8,85.1,6.6,13.8,18.3,48.3,25.6,68,59.8,Moderate,
405,2026-02-09,29.9,61.7,0,13.4,27.9,66.1,29.5,76,67.7,Moderate,
406,2026-02-10,25.5,88.1,0,7.6,16.9,57,39.4,60,59.3,Moderate,
407,2026-02-11,26.4,68.9,1.3,1.2,36.3,60.9,35.3,75,58.8,Moderate,
408,2026-02-12,31.6,54.5,4.4,4.3,28.9,76.5,28.8,78,59.8,Moderate,
409,2026-02-13,16,83.1,0,14.5,14.6,40.3,21,28,64.6,Good,
410,2026-02-14,19.9,69.5,0,8.7,19,44.9,11.2,49,65.9,Good,
411,2026-02-15,18.8,73.3,0,7.6,36.5,63,13.9,59,64.2,Moderate,
412,2026-02-16,14.2,87.9,5.5,15.3,26.4,31.4,15.1,50,64.9,Good,
413,2026-02-17,23.3,78.7,0,14,21,39.3,6.2,34,57.7,Good,
414,2026-02-18,31.1,60.2,0,10.1,31,45.4,29.1,63,66.7,Moderate,
415,2026-02-19,25.4,79.7,11.2,9.1,21,56.7,16.8,46,65,Good,
416,2026-02-20,28.1,78,0.5,9.6,36.8,69,27.8,78,67.4,Moderate,
417,2026-02-21,33,74.6,1,10.7,28.9,57,22.9,81,59.4,Moderate,
418,2026-02-22,34.3,65.8,0,15.1,26.4,72.6,32.6,86,54.4,Moderate,
419,2026-02-23,26.6,81.3,0,11.4,33.3,24.1,25.3,60,63.5,Moderate,
420,2026-02-24,34.4,46.3,8.3,12.3,26.1,55.4,39.8,71,70.9,Moderate,
421,2026-02-25,27.5,66.8,5.5,13.7,23.3,46.7,24.2,63,65.4,Moderate,
422,2026-02-26,22.4,68.3,0,6.3,12.6,39.8,18.7,49,64.1,Good,
423,2026-02-27,23.7,74.7,0.8,12.4,27.7,76.1,20.6,61,58,Moderate,
424,2026-02-28,18.9,74.7,0,9.1,35.7,41.6,10.6,56,71.6,Moderate,
425,2026-03-01,22.1,74.2,0,1.9,33.8,47.5,28.7,52,57.6,Moderate,
426,2026-03-02,25,87.3,0,3.2,41.5,55.5,31.7,91,58,Moderate,
427,2026-03-03,31.4,63.5,0,6.7,26.3,33.6,48.4,88,66.9,Moderate,
428,2026-03-04,36.5,62.4,0,11.7,36,51.3,28.6,73,53.1,Moderate,
429,2026-03-05,19.4,76.8,5.7,10.4,11.1,53.3,17.3,23,72,Good,
430,2026-03-06,29.2,68.1,0,10.6,26.5,45.3,23.5,63,66.7,Moderate,
431,2026-03-07,21.3,76.6,0,16.2,23.5,28.1,20.2,38,69,Good,
432,2026-03-08,29.6,70.5,0,5.9,32.8,75.2,32.7,75,64.5,Moderate,
433,2026-03-09,26.3,80.1,0,9.9,14.9,68,25.2,62,63,Moderate,
434,2026-03-10,16.9,94.7,0,11,6.5,45.2,25.2,42,60.2,Good,
435,2026-03-11,32.1,66.6,0,7.6,22,53.7,26.9,54,63,Moderate,
436,2026-03-12,23.7,78.5,0,10.1,27.7,44.2,30.3,57,58.6,Moderate,
437,2026-03-13,24.1,64.1,11.5,4.9,42.2,39.2,28.4,75,66.4,Moderate,
438,2026-03-14,21.1,76,3.8,14.5,28.6,26.4,18.8,46,68.7,Good,
439,2026-03-15,23.4,81.6,0,7.8,9.9,35.5,22,27,73,Good,
440,2026-03-16,29.4,74.2,5.1,16.5,34.8,39.1,41.4,72,65.6,Moderate,
441,2026-03-17,26,72.8,6.7,9.9,32.2,35.1,18.8,59,69,Moderate,
442,2026-03-18,28.8,75,7.2,13.3,12.5,28.5,27.3,39,65.2,Good,
443,2026-03-19,29,71.6,12.6,9.8,24,53.7,21,44,62.9,Good,
444,2026-03-20,34.3,71.2,2.1,9.9,41.8,62.7,44.2,101,64,Unhealthy for Sensitive Groups,
445,2026-03-21,25.1,74.4,3,8.1,30.3,72.2,31.3,52,60.6,Moderate,
446,2026-03-22,18.9,76.4,1,10.4,8.6,32.4,14.6,26,67.3,Good,
447,2026-03-23,32.9,65.9,0,11,36.3,61.4,33.9,74,56.6,Moderate,
448,2026-03-24,25.2,48.6,4.1,7.5,9.1,54.5,27.1,48,61.1,Good,
449,2026-03-25,33.1,66,0,9.6,30.8,55.8,27.6,73,65.9,Moderate,
450,2026-03-26,29.1,38.3,9.7,8,37.4,62.9,32.8,91,67.6,Moderate,
451,2026-03-27,26.3,57,0,17.4,21.1,54,24.9,50,58.8,Good,
452,2026-03-28,28.9,71.4,0,9.7,24.7,58.2,29.3,70,66.6,Moderate,
453,2026-03-29,37.7,61.4,0,14.9,40.1,56.5,32.2,82,59.1,Moderate,
454,2026-03-30,38.4,47.5,0,9.4,45.3,61,38.5,76,61.1,Moderate,
455,2026-03-31,27.4,63.8,0,10.8,37,33.3,27.6,83,70,Moderate,
456,2026-04-01,27.9,79.9,0,5.8,37.5,45.8,29.1,59,66.5,Moderate,
457,2026-04-02,32.9,59.3,0,8.6,41.8,51.7,27,81,65.7,Moderate,
458,2026-04-03,22.3,93.2,0,10.7,28,30.6,33.9,64,73.5,Moderate,
459,2026-04-04,28.8,67.8,0,15.1,27,54.7,17.9,61,59.6,Moderate,
460,2026-04-05,26.9,73.4,4.6,10.7,26.1,65,28.1,63,58.6,Moderate,
461,2026-04-06,28.7,80.9,0,14.4,23.4,37.7,23.2,59,60.5,Moderate,
462,2026-04-07,22.4,76.3,0,12.1,11.5,47.7,33.8,37,63.7,Good,
463,2026-04-08,18.3,72,0,15.2,7.6,22.8,10.4,22,54.6,Good,
464,2026-04-09,15.6,82.2,0,9.8,14.4,33.9,11.9,29,64.2,Good,
465,2026-04-10,20.9,76.7,0,17.6,17.8,28.2,11,29,62.4,Good,
466,2026-04-11,24.5,61.9,1.7,8.4,36.8,57.2,26.8,78,66.2,Moderate,
467,2026-04-12,25.4,69.8,5.5,7.5,25.7,41.5,15.6,60,66.4,Moderate,
468,2026-04-13,37.7,51.8,0,6.1,47.1,80.8,33,94,57.1,Moderate,
469,2026-04-14,33.1,70.3,3.3,17.5,35.1,48,12.1,66,66,Moderate,
470,2026-04-15,21.7,76.3,0,12.6,18.4,34.2,22.4,45,68.4,Good,
471,2026-04-16,28.9,65.5,0,8.9,34,38.4,24.6,55,59.2,Moderate,
472,2026-04-17,24.8,71.7,0,14,20,48.4,12.1,43,61.6,Good,
473,2026-04-18,25.4,73.5,0,12.2,34.4,59.2,31.5,73,51.1,Moderate,
474,2026-04-19,28,73.7,0,16.3,28.4,50.5,14.9,50,57.7,Good,
475,2026-04-20,30.4,58,4.5,5,23,87.9,36.1,83,59.1,Moderate,
476,2026-04-21,25.1,63.8,1.6,9.2,26.7,68.1,19.9,66,63.2,Moderate,
477,2026-04-22,32.9,72.1,0,8.5,46.3,55.8,42.7,79,56.4,Moderate,
478,2026-04-23,20.7,73.9,0,3.7,24.1,45.4,29.2,44,61.2,Good,
479,2026-04-24,27,58.6,0,13.4,28,54.5,17.5,63,56.9,Moderate,
480,2026-04-25,41.3,57.1,0,9.1,44.6,58.4,31.5,78,62.1,Moderate,
481,2026-04-26,28.2,72.2,0,12.4,18,65.9,30.3,64,65.7,Moderate,
482,2026-04-27,34.9,48.6,5.9,17.6,31.6,57.3,26.5,76,65.4,Moderate,
483,2026-04-28,27.5,71.2,2.3,8.9,16.5,55.8,25.5,42,64.5,Good,
484,2026-04-29,30.2,72.2,0,8.7,25.6,65.4,38.2,61,55.1,Moderate,
485,2026-04-30,26.7,73.3,0,10.4,34.9,73.1,20.4,89,58.5,Moderate,
486,2026-05-01,26.1,76.1,3.9,13.2,25.9,48.7,24.1,62,62,Moderate,
487,2026-05-02,22.7,63.6,12.6,8.2,19.5,43.3,28.7,50,64.2,Good,
488,2026-05-03,29.4,69.9,0,8,33.9,75.7,34.6,75,62,Moderate,
489,2026-05-04,22.3,72.9,0,13.4,19.7,55.3,19.7,48,70.9,Good,
490,2026-05-05,30.7,61.9,1.9,11.2,29,50,26.2,53,67.4,Moderate,
491,2026-05-06,33,70.1,7,3.5,40.8,62.8,20.8,84,57.5,Moderate,
492,2026-05-07,29,79.5,0,6.1,25.5,59.9,22.1,54,66.4,Moderate,
493,2026-05-08,25.4,86.1,4,14.8,21.6,48.9,24.4,65,67.7,Moderate,
494,2026-05-09,29.5,77.6,0,11.3,25.6,35.6,26.6,52,60,Moderate,
495,2026-05-10,25.3,71,2.5,7.6,13.9,30.9,26.1,32,70,Good,
496,2026-05-11,32.1,66.9,0,9.5,24.4,46.5,37.7,62,62.9,Moderate,
497,2026-05-12,16.9,87.7,0,10,30.3,26.7,9.7,22,56.9,Good,
498,2026-05-13,25.2,73,0,12.4,26.6,38.7,21.9,53,66.1,Moderate,
499,2026-05-14,16.1,83.6,0,5.7,9.4,50.4,20.6,40,66.1,Good,
500,2026-05-15,18.8,86,0,7.3,9,41.8,15.8,42,64.3,Good,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
